price,location
3095,chicago
250,chicago
175,chicago
3000,chicago
7800,chicago
1,newyork
19995,newyork
1,newyork
3200,newyork
29500,newyork
1310,newyork
16995,newyork
39900,newyork
44000,newyork
19500,newyork
16995,newyork
39900,newyork
39900,newyork
44000,newyork
39900,newyork
23995,newyork
5200,newyork
36500,newyork
36999,philadelphia
54000,philadelphia
71000,philadelphia
12999,philadelphia
26999,philadelphia
44553,philadelphia
25999,philadelphia
25000,philadelphia
3200,philadelphia
9500,philadelphia
4700,philadelphia
23012,philadelphia
100,phoenix
99,phoenix
10990,phoenix
14995,phoenix
15500,phoenix
34000,phoenix
2500,phoenix
59900,phoenix
24990,phoenix
4950,phoenix
9990,phoenix
13000,phoenix
450,phoenix
6800,phoenix
42900,phoenix
2890,phoenix
26400,losangeles
59000,losangeles
2000,losangeles
14900,losangeles
150,sandiego
7800,chicago
9995,chicago
2999,chicago
10899,chicago
22499,chicago
15699,chicago
19195,chicago
12999,chicago
22599,chicago
22499,chicago
10995,chicago
10999,chicago
26999,chicago
15999,chicago
30999,chicago
30999,chicago
37999,chicago
5200,newyork
5200,newyork
36500,newyork
5200,newyork
27000,newyork
19500,newyork
23995,newyork
23995,newyork
21995,newyork
27650,newyork
16995,newyork
39900,newyork
4995,newyork
9000,newyork
13500,newyork
2520,newyork
15500,newyork
23000,philadelphia
12995,philadelphia
14750,philadelphia
14750,philadelphia
9495,philadelphia
13008,philadelphia
51084,philadelphia
32480,philadelphia
28999,philadelphia
44553,philadelphia
25000,philadelphia
21999,philadelphia
22999,philadelphia
24599,philadelphia
54999,philadelphia
55999,philadelphia
1500,phoenix
69900,phoenix
8400,phoenix
13999,phoenix
6850,phoenix
22900,phoenix
45,phoenix
29900,phoenix
1100,phoenix
13750,phoenix
33000,phoenix
16500,phoenix
84995,phoenix
55900,phoenix
3000,phoenix
12500,sandiego
2400,sandiego
150,sandiego
3900,sandiego
8500,sandiego
15999,sandiego
29990,sandiego
18,sandiego
2500,sandiego
10750,sandiego
2540,sandiego
11990,sandiego
31990,sandiego
14999,chicago
39995,chicago
12999,chicago
8995,chicago
22599,chicago
13699,chicago
15467,chicago
12299,chicago
13599,chicago
10899,chicago
30999,chicago
22995,chicago
15467,chicago
26999,chicago
12699,chicago
6995,chicago
10999,chicago
1999,newyork
19859,newyork
2000,newyork
2560,newyork
2000,newyork
2800,newyork
2800,newyork
2800,newyork
2800,newyork
2800,newyork
2800,newyork
3000,newyork
3300,newyork
7,newyork
22999,philadelphia
19999,philadelphia
34999,philadelphia
65279,philadelphia
28999,philadelphia
36999,philadelphia
24599,philadelphia
33999,philadelphia
22999,philadelphia
25999,philadelphia
104999,philadelphia
33999,philadelphia
51999,philadelphia
11500,philadelphia
29900,phoenix
48900,phoenix
8000,phoenix
59888,phoenix
14000,phoenix
7300,phoenix
22500,phoenix
27990,phoenix
26962,phoenix
42122,phoenix
14888,phoenix
20888,phoenix
12888,phoenix
20888,phoenix
13900,phoenix
24888,phoenix
14490,phoenix
9500,sandiego
9500,sandiego
19990,sandiego
29990,sandiego
9500,sandiego
35000,sandiego
9500,sandiego
35000,sandiego
59990,sandiego
65,sandiego
16500,sandiego
37920,sandiego
55920,sandiego
100,sandiego
300,sandiego
2995,chicago
17999,chicago
28999,chicago
13699,chicago
19199,chicago
12699,chicago
16995,chicago
7995,chicago
12699,chicago
16995,chicago
7995,chicago
32999,chicago
12699,chicago
19044,newyork
13056,newyork
23012,newyork
23013,newyork
13500,newyork
2000,newyork
2000,newyork
2000,newyork
2000,newyork
2000,newyork
2000,newyork
600,newyork
3020,newyork
11000,newyork
9700,newyork
7400,newyork
106576,philadelphia
101074,philadelphia
14999,philadelphia
14799,philadelphia
13500,philadelphia
29777,philadelphia
4800,philadelphia
3500,philadelphia
2800,philadelphia
1400,philadelphia
5000,philadelphia
8000,philadelphia
6900,philadelphia
6900,philadelphia
8900,philadelphia
9000,philadelphia
22888,phoenix
11006,phoenix
12990,phoenix
3750,phoenix
32500,phoenix
39900,phoenix
68888,phoenix
26482,phoenix
69500,phoenix
2600,phoenix
5000,phoenix
22888,phoenix
8200,phoenix
100,sandiego
75,sandiego
100,sandiego
20,sandiego
500,sandiego
130,sandiego
1,sandiego
250,sandiego
74990,sandiego
22000,sandiego
6000,sandiego
40,sandiego
4200,sandiego
4200,sandiego
4200,sandiego
4200,sandiego
